File Name,Bill of Lading Number,Shipper Details,Consignee Details,Agent details (Logistics partner),Port of Loading,Port of Discharge,Ocean Vessel number/name,Voy. no,Number of pkgs,Items/goods description,weight,Measurement/dimensions,HS code / HSN code,Invoice number,Payment terms,Date of shipping,Place of issue,Date of issue
SICSY2312000300 - HBL,HBCK231190151,"IHANGZHOU HUISHENG KNITTING AND TEXTILE CO.,LTD, NO. 545, YAQIAN ROAD, YAQIAN TOWN, XIAOSHAN DISTRICT, HANGZHOU, ZHEJIANG, CHINA","THIAM BUILDING CONSTRUCTION PTE LTD, 12 SCIENCE CENTRE ROAD, SINGAPORE 609080","CARGOSAVVY PTE. LTD., 1115 AIRPORT CARGO ROAD, ‘01-33, CARGO AGENTS BUILDING C, SINGAPORE — 819466",NINGBO,SINGAPORE,CONTI CONTESSA/115W,ZZZZZZ,99 PACKAGES,"SHOWER SEAT, STAINLESS STEEL TOWEL RACK, STAINLESS STEEL SINK, GRAB BAR, CURTAIN, TRACK",2419.4KGS,15.528CBM,ZZZZZZ,ZZZZZZ,ZZZZZZ,"Nov.24,2023",NINGBO," Nov.24,2023"
SICSY2312000300 - MBL,ONEYNB3BWB272300,"ZHEJIANG SEA WIN SUPPLY CHAIN MANAGEMENT CO.,LTD., ADD:FL.21, BLOCK A, HFC,NO.148, JINCHENG RD.,XIAOSHAN, HANGZHOU, ZHEJIANG, CHINA","CARGOSAVVY PTE. LTD., 115 AIRPORT CARGO ROAD, #01-33, CARGO AGENTS BUILDING C, SINGAPORE - 819466","NINGBO UNION OCEAN SHIPPING CO.,LTD",NINGBO,SINGAPORE,CONTI CONTESSA,115W,99,"SHOWER SEAT, GRAB BAR, CURTAIN, TRACK, STAINLESS STEEL TOWEL RACK, STAINLESS STEEL SINK",2419.400KGS,15.528CBM,ZZZZZZ,ZZZZZZ,ZZZZZZ,24 Nov 2023,NINGBO,24 NOV 2023
